code,system,version,description
000000,SYSTEM_B,2017,raw walnuts
000000,SYSTEM_B,2017,unshelled walnuts
000000,SYSTEM_B,2017,walnuts assorted
000000,SYSTEM_B,2017,individual walnut packets
000000,SYSTEM_B,2017,salted walnuts
000000,SYSTEM_B,2017,honey roasted walnuts
000000,SYSTEM_B,2017,walnut shelled
000000,SYSTEM_B,2017,walnut
000000,SYSTEM_B,2017,walnut pieces unsalted
000000,SYSTEM_B,2017,baking walnuts
100000,SYSTEM_B,2017,raw peanuts unshelled
100000,SYSTEM_B,2017,peanuts with shells
100000,SYSTEM_B,2017,peanut raw
100000,SYSTEM_B,2017,peanuts salted
100000,SYSTEM_B,2017,unsalted peanuts
100000,SYSTEM_B,2017,peanuts with shells
100000,SYSTEM_B,2017,bulk peanuts raw
100000,SYSTEM_B,2017,honey roasted peanuts
100000,SYSTEM_B,2017,jalapeno peanuts
100000,SYSTEM_B,2017,roasted peanut packs
200000,SYSTEM_B,2017,brazil nut
200000,SYSTEM_B,2017,brazil nuts
200000,SYSTEM_B,2017,unshelled brazil nuts
200000,SYSTEM_B,2017,brazil nut shelled
200000,SYSTEM_B,2017,honey roasted brazil nut
200000,SYSTEM_B,2017,brazil nuts for baking
200000,SYSTEM_B,2017,packages of brazil nuts
200000,SYSTEM_B,2017,assorted brazil nuts
200000,SYSTEM_B,2017,extra large brazil nuts
200000,SYSTEM_B,2017,brazil nuts
300000,SYSTEM_B,2017,steel bolts
300000,SYSTEM_B,2017,titanium screw
300000,SYSTEM_B,2017,screws
300000,SYSTEM_B,2017,bolts
300000,SYSTEM_B,2017,copper nut
300000,SYSTEM_B,2017,lug nuts
300000,SYSTEM_B,2017,steel screws
300000,SYSTEM_B,2017,nuts
300000,SYSTEM_B,2017,golden bolt
300000,SYSTEM_B,2017,metal screws small
400000,SYSTEM_B,2017,eyeglass lenses
400000,SYSTEM_B,2017,lenses for eyeglasses
400000,SYSTEM_B,2017,progressive lenses
400000,SYSTEM_B,2017,lenses bifocal
400000,SYSTEM_B,2017,bifocal lens
400000,SYSTEM_B,2017,high temperature microscope lenses
400000,SYSTEM_B,2017,microscope lens
400000,SYSTEM_B,2017,aspheric medical lens
400000,SYSTEM_B,2017,fiberscope lenses
400000,SYSTEM_B,2017,high precision lenses
